page,product_id,title,description
1,12594102,REF 12594102 Tvh paRTs nv • PARTS & ACCESSORIES DIVISION Bra,REF 12594102 Tvh paRTs nv • PARTS & ACCESSORIES DIVISION Brabantstraat 15 • BE-8790 Waregem T +32 56 43 42 11 • F +32 56 43 44 88 • parts@tvh.com • www.tvh.com SLACED & SLEBAL
1,,,"SLACED
&
SLEBAL: "
1,,,"SLACED
&
SLEBAL: "
2,EFAS,EFAS labels & decals For all our latest catalogue updates an,"EFAS labels & decals For all our latest catalogue updates and company info: www.tvh.com De meeste in deze catalogus vermelde artikelen zijn uit voorraad leverbaar, tenzij ze na publicatie van deze catalogus uitverkocht werden. Contacteer ons indien u een gelijkaardig artikel wenst dat niet in deze catalogus is opgenomen: het is mogelijk dat wij ook dit kunnen leveren. TVH is een leverancier van reserveonderdelen en accessoires geschikt voor OEM-uitrusting. OEM-referenties en merken zijn enkel indicatief en betekenen niet dat de accessoires en/ of onderdelen afkomstig zijn van de originele toestel- of onderdelenfabrikant. Gelieve onze algemene verkoops- voorwaarden te consulteren op www.tvh.com/avv. La plupart des articles mentionnés dans ce catalogue sont disponibles sauf si épuisement du stock à la publication de ce catalogue. Contactez-nous si vous souhaitez un article similaire qui n’est pas repris dans ce catalogue: il est possible que nous pouvons vous le fournir. TVH est un fournisseur de pièces détachées et d’accessoires adaptables sur des marques constructeurs. Les références et marques constructeurs sont uniquement indicatives et n’impliquent pas que les accessoires et/ou pièces proviennent du fabricant de la machine ou de la pièce d’origine. Veuillez consulter nos conditions générales de vente sur www.tvh.com/avv. Die meisten Artikel die in diesem Katalog aufgeführt sind, sind ab Lager lieferbar, es sei denn, das die Artikel durch die Veröffentlichung von diesem Katalog ausverkauft sind. Kontaktieren Sie uns, wenn Sie Interesse haben in ein ähnliches Artikel, das nicht im Katalog aufgeführt ist: es ist möglich das wir es liefern können. TVH ist ein Lieferant von Ersatzteilen und Zubehör geeignet für OEM-Ausstattung. OEM-Referenzen gelten nur als Indiz, und implizieren nicht, dass das Ersatzteil vom Originalhersteller des Geräts oder Ersatzteil kommt. Konsultieren Sie unsere Algemeinen Geschäftsbedingungen auf www.tvh.com/avv. Most articles stated in this catalogue are available from stock, unless they were sold out after the publication of this catalogue. Contact us if you require a similar article that is not shown in this catalogue: alternatives might be available. TVH is a supplier of spare parts and accessories suitable for OEM-equipment. OEM-references and makes are purely indicative and do not imply that the accessories and/or spare parts originate from the original equipment or parts manufacturer. Please consult our general terms and conditions of sale on www.tvh.com/avv. La maggior parte dei ricambi elencati in questo catalogo sono a stock, a meno che dopo la pubblicazione di questo catalogo sono stati venduti . Contatteci se desiderate un articolo simile che non è riportato in questo catalogo: è possibile che possiamo offrire anche questi. TVH è un fornitore di pezzi di ricambio e accessori per OEM, riferimenti OEM e marche sono solo indicativi e non implicano che gli accessori e/o di componenti derivino dal costruttore originale o dal produttore del componente. Si prega di consultare i nostri termini di vendita su www.tvh.com/avv. La mayoría de los artículos que figuran en este catálogo se encuentran en stock, a menos que tras la publicación de este catálogo se hayan agotado. Contacte con nosotros si desea un artículo similar que no se halle en este catálogo: es posible que podamos ofrecerle aquel que usted necesita. TVH es un proveedor de recambios y accesorios adecuados para equipos OEM. Las referencias y marcas OEM mencionadas son meramente indicativas y no implican que los accesorios y / o recambios procedan del fabricante de maquinaria o recambios original. Por favor, consulte nuestras condiciones de venta en www.tvh.com/avv. © september 2011 Tvh parts nv, Brabantstraat 15, BE-8790 Waregem. All rights reserved. No part of this catalogue may be reproduced or communicated in any form or by any means, electronic or mechanical, including copying, recording or use in an information storage or retrieval system, without prior and explicit permission of TVH Parts NV. • Products that do not comply with regulatory requirements concerning CE conformity are not placed on the market in the European Economic Area. • TVH® and TotalSource® are registered trademarks of TVH Parts NV. • Please consult our general terms & conditions of sale on www.tvh.com/avv. • Photographs and illustrations are included for reference purposes only. Printing errors reserved. • In the catalogue of TVH, company and/or personal details are collected from forms. When you provide us with such information, it is stored in the files of TVH. You have the right to access and, if necessary, correct your company and/or personal data, according to the applicable law. The databases containing your information are protected against unauthorized access. The information collected is not transmitted to third parties."
3,EFAS,labels & decals For all our latest catalogue updates and com,labels & decals For all our latest catalogue updates and company info: www.tvh.com 1 EFAS XedNI inDeX PaGe • part 1: Nice to kNow ............................................................................................................................................................................ 3 • part 2: labels & decals ....................................................................................................................................................................7 technische Fiche zelFklever .....................................................................................................................8 Fiche technique autocollant .................................................................................................................10 technical sheet sticker ...............................................................................................................................12 technisches Datenblatt auFkleber ......................................................................................................14 category: • top iteMs ...........................................................................................................................................................16 • kit ............................................................................................................................................................................17 • dasHboard .......................................................................................................................................................21 - arroWs .................................................................................................................................................21 - electricitY .........................................................................................................................................32 - horn ......................................................................................................................................................42 - liGhts ....................................................................................................................................................44 • Fork ......................................................................................................................................................................45 - coMbinations ...................................................................................................................................45 - lever ......................................................................................................................................................51 - reach .....................................................................................................................................................54 - rotative ...............................................................................................................................................57 - siDe shiFt .............................................................................................................................................59 - tilt ...........................................................................................................................................................66 - uP/DoWn ..............................................................................................................................................70 • liQUid ....................................................................................................................................................................76 - Diesel .....................................................................................................................................................76 - lPG ...........................................................................................................................................................80 - oil ............................................................................................................................................................81 - Water .....................................................................................................................................................86 • saFety ...................................................................................................................................................................87 - (hanD)brake ......................................................................................................................................87 - Drive saFe ............................................................................................................................................91 - GuiDelines ..........................................................................................................................................94 - no seconD Driver ..........................................................................................................................168 - noise ......................................................................................................................................................169 - not beloW loaD ..............................................................................................................................170 - WarninG crunch FinGers ..........................................................................................................173 - WarninG lPG......................................................................................................................................178 • tyres .....................................................................................................................................................................179 • capacity .............................................................................................................................................................184 • aerial platForMs .......................................................................................................................................241 • loadiNg capacity diagraM ..................................................................................................................259 • MiscellaNeoUs .............................................................................................................................................260 • Please contact us for all brand labels: Required: • name of brand • colour • size • Ask also for loading capacity diagrams
4,EFAS,labels & decals For all our latest catalogue updates and com,labels & decals For all our latest catalogue updates and company info: www.tvh.com 2 seTON EFAS NOTes ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ................................................................................................................................................................................................................................................................................................................................................................................................................... ...................................................................................................................................................................................................................................................................................................................................................................................................................
5,EFAS,labels & decals For all our latest catalogue updates and com,labels & decals For all our latest catalogue updates and company info: www.tvh.com 3 EFAS wonk ot eciN Part: 1 NIce TO kNOw
5,,Part: 1 NIce TO kNOw,: Part: 1 NIce TO kNOw
5,,,: 
6,EFAS,labels & decals For all our latest catalogue updates and com,labels & decals For all our latest catalogue updates and company info: www.tvh.com 4 wonk ot eciN EFAS labels & decals For all our latest catalogue updates and company info: www.tvh.com OLD VERSION replaced by Foreground: MIXED Foreground: MIXED Background: WHITE Background: WHITE Width: 74 mm Width: 148 mm Height: 74 mm Height: 148 mm REF 138TA8302 REF 138TA8301 OLD VERSION replaced by Foreground: MIXED Foreground: MIXED Background: WHITE Background: WHITE Width: 74 mm Width: 148 mm Height: 74 mm Height: 148 mm REF 138TA8294 REF 138TA8295 OLD VERSION replaced by Foreground: MIXED Foreground: MIXED Background: WHITE Background: WHITE Width: 74 mm Width: 148 mm Height: 74 mm Height: 148 mm REF 138TA8292 REF 138TA8293 OLD VERSION replaced by Foreground: MIXED Foreground: MIXED Background: WHITE Background: WHITE Width: 74 mm Width: 148 mm Height: 74 mm Height: 148 mm REF 138TA8286 REF 138TA8288 OLD VERSION replaced by Foreground: MIXED Foreground: MIXED Background: WHITE Background: WHITE Width: 74 mm Width: 148 mm Height: 74 mm Height: 148 mm REF 138TA8287 REF 138TA8289 5
